UNHAPPY,AGE,HEALTH,RINCOM91,EDUC,SEX,BLACK,OTHER_RACE,TRAUMA1,WIDOWED,DIVORCED,SEPARATED,NEVER_MARRIED
0,75,2,0,12,0,0,0,1,1,0,0,0
0,75,4,0,16,0,0,0,1,1,0,0,0
0,75,0,0,11,0,0,0,0,1,0,0,0
1,75,2,0,13,0,0,0,0,0,1,0,0
0,75,0,0,12,1,0,0,0,0,1,0,0
0,75,2,0,14,0,1,0,0,0,0,1,0
0,75,2,5,8,1,0,0,0,0,0,0,1
0,74,1,4,7,1,0,0,0,0,0,0,0
0,74,4,0,10,1,0,0,0,0,0,0,0
0,74,4,21,12,1,0,0,0,0,0,0,0
0,74,3,0,8,1,0,0,0,0,0,0,0
0,74,0,0,10,1,1,0,0,0,0,0,0
0,74,2,0,12,1,0,0,0,0,0,0,0
0,74,4,0,14,1,0,0,0,0,0,0,0
1,74,1,0,12,0,0,0,1,0,0,0,0
0,74,0,0,13,0,0,0,1,0,0,0,0
0,74,2,0,2,1,0,0,0,1,0,0,0
0,74,0,0,12,0,0,0,0,1,0,0,0
0,74,0,0,14,0,0,0,0,1,0,0,0
0,74,3,0,16,0,0,0,0,1,0,0,0
1,74,0,0,12,0,0,0,1,1,0,0,0
0,74,0,0,11,0,0,0,1,1,0,0,0
0,74,3,0,16,1,0,0,0,0,1,0,0
0,74,0,0,5,1,1,0,0,0,1,0,0
0,74,3,0,11,0,0,0,1,0,1,0,0
0,74,0,0,14,0,0,0,0,0,1,0,0
0,73,3,0,8,1,0,0,0,0,0,0,0
1,73,2,0,12,1,0,0,0,0,0,0,0
0,73,4,0,19,0,0,0,0,0,0,0,0
0,73,0,0,6,1,0,0,0,0,0,0,0
1,73,2,0,10,1,0,0,1,0,0,0,0
0,73,3,0,12,0,0,0,1,0,0,0,0
0,73,0,0,16,1,0,0,1,0,0,0,0
0,73,0,0,8,0,0,0,0,0,0,0,0
0,73,3,0,7,0,0,0,0,1,0,0,0
0,73,2,0,10,0,0,0,0,1,0,0,0
0,73,2,3,12,1,0,0,0,1,0,0,0
0,73,0,0,8,0,0,0,0,1,0,0,0
0,73,4,0,12,0,0,0,0,1,0,0,0
0,73,0,0,8,0,0,0,1,1,0,0,0
0,73,3,0,8,0,0,0,1,1,0,0,0
0,73,2,0,8,0,0,0,1,1,0,0,0
1,73,0,0,14,1,0,0,1,1,0,0,0
0,73,0,0,10,0,0,0,1,1,0,0,0
0,73,4,0,12,0,0,0,0,0,1,0,0
1,73,1,0,12,1,0,0,0,0,1,0,0
1,72,1,0,2,1,0,0,0,0,0,0,0
0,72,2,0,7,1,0,0,0,0,0,0,0
1,72,2,0,8,0,0,0,0,0,0,0,0
0,72,3,0,12,1,0,0,0,0,0,0,0
0,72,2,0,12,0,0,0,0,0,0,0,0
0,72,3,9,12,0,0,0,0,0,0,0,0
0,72,0,0,8,1,0,0,0,0,0,0,0
0,72,4,17,12,1,0,0,0,0,0,0,0
0,72,0,0,14,1,0,0,0,0,0,0,0
0,72,0,21,16,1,0,0,0,0,0,0,0
0,72,0,0,8,1,0,0,1,0,0,0,0
0,72,4,0,8,1,0,0,1,0,0,0,0
0,72,0,0,13,1,0,0,1,0,0,0,0
1,72,1,8,8,0,0,0,0,1,0,0,0
0,72,3,12.33,9,0,1,0,0,1,0,0,0
0,72,3,0,12,0,0,0,0,1,0,0,0
0,72,0,12.33,8,0,0,0,1,1,0,0,0
1,72,3,0,11,0,0,0,1,1,0,0,0
0,72,1,0,10,0,0,0,1,0,1,0,0
0,72,2,0,9,0,0,0,0,0,0,0,1
0,71,2,0,8,1,0,0,0,0,0,0,0
0,71,3,0,14,0,0,0,0,0,0,0,0
0,71,4,0,20,1,0,0,0,0,0,0,0
0,71,4,10,8,1,0,0,0,0,0,0,0
0,71,2,0,9,0,0,0,0,0,0,0,0
0,71,0,0,12,1,0,0,0,0,0,0,0
0,71,3,0,14,0,0,0,0,0,0,0,0
0,71,3,0,16,0,0,0,0,0,0,0,0
0,71,4,5,6,0,1,0,0,1,0,0,0
0,71,1,0,7,0,1,0,0,1,0,0,0
0,71,2,0,10,0,0,0,0,1,0,0,0
0,71,3,0,16,0,0,0,0,1,0,0,0
0,71,4,2,6,0,1,0,0,1,0,0,0
0,71,0,0,10,0,0,0,0,1,0,0,0
0,71,2,0,14,0,0,0,0,1,0,0,0
0,71,4,0,17,0,0,0,0,1,0,0,0
1,71,0,0,16,1,0,0,0,0,0,0,1
0,70,3,0,13,1,0,0,0,0,0,0,0
0,70,3,0,15,1,0,0,0,0,0,0,0
0,70,3,0,18,1,0,0,0,0,0,0,0
0,70,0,3,8,1,0,0,0,0,0,0,0
0,70,0,0,12,1,0,0,0,0,0,0,0
1,70,0,13,12,0,0,0,1,0,0,0,0
0,70,0,0,13,0,0,0,1,0,0,0,0
0,70,0,0,20,1,0,0,0,0,0,0,0
0,70,4,9,12,0,1,0,0,1,0,0,0
0,70,0,0,6,0,0,0,1,1,0,0,0
0,70,3,0,12,0,0,0,0,0,1,0,0
0,70,3,0,13,0,0,0,0,0,1,0,0
