HAPPY,AGE,HEALTH,RINCOM91,EDUC,SEX,RACE,TRAUMA1,MARITAL
1,58,0,17,12,1,1,0,1
3,19,0,7,12,2,1,1,5
1,35,1,12,12,1,1,0,1
3,30,2,16,12,2,1,0,1
2,42,2,16,15,1,1,-1,1
1,54,1,16,12,2,1,-1,3
3,43,2,1,12,2,1,-1,1
1,33,0,15,16,2,1,0,1
2,21,3,6,12,1,1,0,5
2,26,1,11,12,1,1,-1,1
1,42,0,98,12,1,1,0,1
1,34,0,15,17,1,1,1,1
2,25,3,10,15,2,1,0,3
1,43,1,19,11,1,1,0,1
2,65,1,18,14,1,1,0,1
2,20,1,0,12,1,1,-1,5
2,22,0,4,15,2,1,1,5
2,23,2,0,15,2,1,0,5
2,22,2,5,15,2,1,-1,5
2,22,1,3,15,1,1,0,5
1,20,1,0,13,2,1,-1,5
2,41,3,0,13,1,1,1,1
1,21,0,2,11,2,1,2,1
2,33,0,16,12,1,1,0,1
1,87,1,0,12,2,1,-1,2
2,77,0,0,12,2,1,9,3
2,40,0,15,12,1,1,0,1
2,25,1,8,16,1,1,-1,5
1,51,1,11,12,1,1,-1,1
2,32,2,0,13,2,1,-1,1
1,30,2,9,14,2,1,0,1
2,86,4,0,8,1,1,-1,2
1,40,1,12,16,2,1,-1,1
2,46,0,3,12,2,1,0,3
1,40,1,18,12,2,2,-1,1
1,43,0,21,10,1,3,0,3
1,46,2,18,12,1,1,1,1
1,70,0,0,13,2,1,1,1
2,32,0,14,12,1,1,0,1
1,37,1,19,12,1,1,0,1
2,53,0,0,12,1,1,1,5
1,32,0,1,12,2,2,1,1
1,52,0,16,6,1,1,0,1
2,71,2,0,16,2,1,0,1
3,43,3,6,12,2,1,1,3
1,25,2,13,12,1,2,-1,5
1,46,0,18,12,1,1,0,1
1,66,2,0,14,2,1,0,1
3,42,3,0,12,1,1,-1,3
2,38,1,13,11,1,3,0,3
2,23,0,11,14,1,1,0,1
2,59,0,4,8,2,1,0,1
2,35,3,0,12,2,1,-1,1
1,62,2,0,14,1,1,-1,1
2,19,2,0,11,1,1,-1,5
1,19,1,0,11,2,1,-1,5
2,58,1,0,14,2,1,-1,1
1,59,0,16,16,2,1,0,1
1,19,0,0,11,2,1,1,5
2,68,4,0,9,2,1,1,1
2,47,4,12,13,1,1,2,5
2,19,1,0,11,1,2,0,5
2,35,2,6,11,1,2,0,1
2,44,2,14,12,2,2,-1,3
1,50,2,17,11,1,1,0,2
3,41,2,17,11,2,1,1,3
2,38,2,13,14,2,2,1,1
2,36,0,14,18,2,2,0,1
1,43,1,15,13,1,2,0,1
3,35,0,0,12,2,2,9,4
2,25,3,0,12,1,2,-1,5
2,25,2,11,14,1,2,0,5
3,25,1,12,16,2,1,0,1
3,73,0,0,14,1,1,1,2
2,36,2,22,16,1,1,-1,1
2,35,2,21,13,1,1,0,1
1,67,0,0,12,2,1,1,1
1,51,0,17,13,2,1,1,3
3,58,0,9,12,2,1,1,3
1,40,1,10,12,2,1,0,1
2,68,8,0,13,1,1,3,3
2,19,1,0,8,2,2,-1,5
2,52,1,22,12,1,2,-1,1
2,40,2,10,13,1,1,-1,1
1,53,1,9,13,2,1,0,1
2,63,0,1,14,2,1,1,1
1,75,1,0,16,2,1,1,2
2,38,0,0,12,2,1,1,3
2,38,0,18,14,2,1,1,3
2,49,3,6,16,1,1,-1,3
2,50,2,5,14,2,1,-1,1
2,78,2,0,14,2,1,-1,2
1,57,1,2,8,1,2,1,1
3,69,4,0,12,2,2,0,2
2,68,0,0,12,2,1,2,1
2,72,0,0,14,1,1,0,1
1,58,0,11,12,1,1,0,1
1,45,2,11,13,2,1,-1,1
2,20,1,4,12,1,1,-1,5
1,78,2,6,9,1,1,0,1
2,52,4,0,14,1,1,1,2
1,39,1,8,14,1,1,-1,1
2,81,0,0,12,2,1,0,2
2,36,0,3,12,2,3,2,3
2,51,3,3,0,2,3,0,1
2,78,0,16,18,2,1,2,2
2,25,3,11,12,2,3,0,1
2,41,2,13,12,2,1,-1,3
2,36,2,17,19,1,1,0,1
1,33,1,99,16,2,1,0,1
2,51,2,0,12,1,1,3,1
1,47,1,11,14,2,1,1,1
1,21,1,10,13,2,1,-1,5
1,59,1,0,12,2,1,0,1
2,34,2,18,12,1,1,0,1
2,23,2,98,11,2,1,-1,1
2,76,0,0,7,1,1,0,1
1,40,2,7,12,2,1,-1,1
1,38,3,3,12,2,1,-1,1
2,66,3,0,12,2,1,-1,2
1,73,2,0,7,2,1,-1,2
2,80,0,0,8,1,1,0,5
3,57,0,0,6,2,1,9,3
1,78,2,0,11,2,1,0,2
2,66,3,0,12,2,1,-1,5
1,88,2,0,12,1,1,-1,2
1,58,0,0,12,2,1,1,1
2,39,0,13,12,1,1,1,5
2,31,0,12,12,2,1,0,3
1,51,0,8,16,2,1,0,1
2,37,1,14,17,1,1,-1,1
2,32,2,3,12,2,1,0,1
1,73,3,0,8,2,1,1,2
2,47,0,18,16,1,1,0,1
1,71,2,0,16,2,1,-1,2
3,42,1,0,14,1,1,-1,3
2,75,3,0,12,2,1,1,2
2,72,4,0,10,2,1,1,3
1,63,0,0,16,2,1,0,1
2,89,0,0,8,2,1,0,2
2,49,3,0,4,1,1,1,1
2,64,1,15,12,1,1,9,1
1,64,0,2,12,2,1,9,1
2,46,2,0,12,1,1,-1,1
3,76,4,0,8,2,1,-1,2
2,72,3,0,12,2,1,-1,1
2,77,0,0,13,2,1,1,2
2,46,0,8,12,2,1,2,3
2,24,1,7,14,1,1,-1,5
1,27,1,11,14,2,1,-1,1
2,21,3,4,9,2,1,-1,1
2,32,2,11,20,2,3,-1,5
3,40,0,19,20,1,1,0,1
2,45,2,18,17,2,1,0,3
3,26,0,15,12,2,3,0,1
2,84,0,0,16,2,1,0,2
1,46,2,16,20,2,1,-1,5
1,32,2,12,18,2,1,0,5
3,36,2,16,16,1,1,-1,5
1,21,1,0,14,2,1,0,5
3,30,1,11,14,2,1,-1,5
2,23,2,4,16,2,1,-1,5
1,51,1,9,12,2,1,0,3
1,82,0,0,14,1,1,0,1
2,40,3,21,19,1,1,1,1
2,51,0,21,16,1,1,0,1
1,54,1,10,16,2,1,0,1
1,61,2,0,12,2,1,0,1
1,27,1,12,16,1,3,-1,1
3,55,0,3,6,2,1,1,2
1,33,1,8,98,1,2,-1,1
2,61,2,3,8,2,1,-1,1
2,38,0,9,12,2,1,0,3
1,36,0,0,12,2,1,0,1
2,50,2,3,12,2,1,0,3
1,67,0,0,4,2,1,1,3
2,81,2,99,13,2,1,-1,2
1,50,1,22,17,2,1,0,1
1,63,1,21,17,1,1,-1,1
2,43,1,16,18,2,1,-1,1
2,39,1,0,17,2,1,-1,1
1,47,2,12,13,1,1,1,1
1,44,1,17,14,2,1,0,3
2,28,0,1,98,1,1,0,5
1,32,2,22,14,2,1,2,4
2,20,2,9,13,1,1,0,5
2,50,2,16,12,1,1,-1,1
2,31,0,12,14,2,1,0,1
2,49,1,16,18,2,1,0,1
2,62,2,0,14,2,1,1,2
1,66,1,1,10,1,1,-1,1
2,29,2,18,14,1,1,1,5
2,30,0,11,11,1,1,0,3
1,34,1,16,15,1,2,-1,5
2,63,2,14,12,2,2,-1,1
2,43,0,22,16,2,2,9,3
1,55,0,9,13,2,2,0,1
3,39,3,0,11,2,2,2,1
2,36,0,8,13,1,2,2,5
2,77,0,0,16,2,1,1,2
2,39,0,16,12,1,1,0,3
2,28,2,5,19,2,1,-1,5
1,23,0,5,15,1,1,0,5
2,21,4,0,14,1,1,1,5
1,63,1,0,12,1,1,0,1
2,46,1,16,14,2,1,0,1
2,42,0,15,20,1,1,0,5
2,39,1,15,19,2,1,-1,1
2,77,0,22,14,2,1,1,3
2,46,2,16,14,1,1,-1,1
1,28,2,0,13,2,1,-1,1
2,87,0,0,10,1,1,2,2
1,76,2,0,12,2,1,0,5
3,84,2,0,16,2,1,0,2
1,49,2,17,17,1,1,-1,1
2,31,0,0,16,2,3,0,1
2,56,1,19,18,2,3,-1,3
2,28,2,14,12,1,1,-1,3
2,30,2,12,12,2,1,0,1
2,24,1,2,12,1,1,0,1
2,37,1,19,18,2,1,0,1
2,48,0,12,12,2,1,2,2
2,45,2,15,13,1,1,-1,1
3,77,2,0,13,2,1,-1,2
1,73,1,0,19,2,1,-1,1
3,65,2,0,13,2,1,-1,2
2,74,3,0,12,1,1,0,1
2,22,2,11,16,2,1,0,5
2,19,1,0,11,1,1,-1,5
2,49,0,14,15,1,1,1,1
2,40,1,0,12,2,1,-1,1
3,74,0,0,12,2,1,1,2
1,89,0,0,16,2,1,9,2
2,36,2,13,9,1,1,0,3
2,35,1,2,12,1,1,-1,3
2,36,3,9,12,2,1,9,3
3,37,2,8,13,2,1,1,3
1,53,3,0,12,2,1,1,3
2,74,2,0,16,1,1,-1,3
2,55,3,16,14,1,1,1,3
2,39,1,18,16,1,1,0,1
3,89,3,0,7,2,1,-1,2
2,74,0,0,11,2,1,2,2
1,89,0,0,12,1,1,0,1
2,72,1,17,12,1,1,0,1
2,52,0,11,18,2,1,0,1
2,38,0,16,13,2,1,0,1
1,52,0,19,14,1,1,0,1
2,76,0,0,8,1,1,0,1
2,58,3,2,13,2,1,0,1
1,70,0,0,12,1,1,0,1
3,43,0,12,13,1,1,9,3
2,24,0,11,12,1,1,0,5
2,74,2,0,11,2,1,1,3
2,56,2,11,11,2,1,0,3
2,73,3,0,10,2,1,-1,2
2,39,2,0,16,1,1,0,1
1,87,3,0,13,1,1,-1,1
2,38,0,17,14,1,1,0,3
2,28,2,11,14,2,1,-1,1
1,40,0,17,15,1,1,0,1
2,24,4,11,9,1,1,-1,5
2,49,2,14,9,1,1,0,1
1,42,0,1,12,2,1,1,1
1,64,3,0,7,1,1,-1,1
2,63,2,0,9,2,1,-1,1
2,58,0,0,7,2,1,0,3
1,59,2,12,12,2,1,0,1
2,47,0,11,12,1,1,0,1
2,88,4,0,8,2,1,-1,2
3,82,4,0,12,1,1,1,2
1,87,2,0,13,1,1,0,2
1,75,1,9,12,1,1,0,1
2,43,2,2,12,1,1,-1,3
1,35,2,14,12,2,1,0,1
2,35,0,16,12,1,1,0,1
1,20,2,5,12,2,1,0,5
2,37,3,14,14,1,1,-1,1
2,24,2,6,14,2,1,0,5
1,62,3,0,9,2,1,-1,1
1,28,2,10,16,2,1,-1,1
1,51,2,13,15,2,1,0,1
1,44,0,0,12,2,1,2,1
2,36,3,2,12,1,1,1,3
2,77,1,0,15,2,1,1,2
1,44,0,11,16,1,1,0,1
2,73,3,3,12,1,1,-1,2
1,28,1,14,16,1,1,-1,3
2,51,1,22,13,1,1,1,1
1,37,0,9,12,2,1,0,1
2,64,0,0,11,1,1,0,1
2,74,0,0,12,2,1,0,2
3,57,0,0,10,1,1,2,1
1,69,2,0,12,2,1,-1,1
2,33,0,0,11,1,1,2,3
1,56,0,0,10,2,1,1,1
2,40,2,14,12,2,1,0,3
2,47,2,11,12,2,1,0,1
2,34,0,5,10,1,1,1,3
2,47,4,14,12,1,1,1,1
2,87,4,0,11,1,1,0,2
3,60,4,0,10,1,1,-1,3
2,70,0,0,6,2,1,1,2
2,43,0,19,14,1,1,0,1
1,43,2,15,16,2,1,-1,1
2,21,0,2,13,2,1,0,1
2,72,3,0,9,2,1,-1,5
1,81,2,0,13,2,1,-1,2
1,82,0,0,12,2,1,1,2
2,86,1,0,8,2,1,-1,2
2,27,1,8,13,1,1,1,3
2,77,0,0,8,2,1,1,1
2,71,1,10,8,1,1,0,1
2,62,2,9,12,1,1,0,5
1,39,1,12,16,1,1,-1,5
2,45,0,16,12,1,1,0,1
2,35,2,22,14,2,1,0,1
1,42,2,2,14,2,1,1,1
1,65,2,16,12,1,1,0,1
2,26,0,1,16,1,1,1,5
2,45,1,16,12,1,1,-1,1
2,46,0,22,12,2,1,1,1
2,47,4,3,11,2,1,-1,3
2,27,2,0,10,2,1,0,1
2,30,2,0,12,1,1,0,1
2,25,0,2,16,2,1,0,5
1,29,1,0,16,2,1,-1,1
1,52,3,0,12,2,1,1,1
2,39,0,13,12,2,1,0,1
2,52,2,10,12,2,1,-1,1
2,99,3,22,10,2,1,-1,5
1,51,0,22,12,2,1,0,1
1,28,2,15,17,1,1,-1,5
2,30,1,3,12,2,1,-1,4
3,48,0,22,10,2,1,1,4
2,36,2,9,12,2,1,1,1
1,31,0,6,12,2,1,0,1
2,29,0,9,12,1,1,1,1
1,37,2,13,12,2,1,0,1
2,55,1,16,13,1,1,1,1
1,40,0,3,12,2,1,0,1
3,20,2,5,13,1,1,0,5
1,72,2,0,12,1,1,-1,1
1,27,4,0,14,2,2,0,5
2,79,3,0,7,2,1,0,2
1,73,0,0,6,1,1,0,1
2,75,2,0,5,2,2,0,2
3,72,4,0,2,1,1,-1,1
2,75,0,0,6,1,1,1,2
1,63,4,18,9,1,1,9,1
1,21,1,5,14,2,1,0,1
2,41,3,11,12,1,1,0,1
1,33,1,10,9,1,1,-1,5
2,21,2,2,12,1,2,-1,5
3,29,0,10,11,2,2,0,3
2,40,2,0,12,2,2,0,4
2,18,0,0,11,2,1,0,5
3,73,3,0,10,1,1,1,1
2,47,2,0,8,1,1,-1,3
2,73,2,0,8,2,1,1,2
2,58,4,0,7,1,2,2,3
2,40,0,3,11,2,2,2,5
2,81,3,0,4,1,2,-1,1
2,41,2,11,12,1,1,-1,1
1,73,2,0,8,1,1,-1,1
2,33,0,15,20,1,1,0,1
3,52,1,0,16,2,1,0,1
2,34,2,0,16,2,1,-1,1
2,58,3,7,13,2,1,-1,2
3,47,0,0,12,2,1,1,2
3,79,2,0,16,1,1,0,2
2,43,2,15,14,2,2,0,5
1,63,0,0,14,2,1,1,1
1,85,2,0,2,1,1,1,1
2,45,2,22,14,2,1,-1,3
1,26,0,14,13,1,1,0,1
1,42,0,17,14,1,1,0,5
1,41,2,12,12,1,1,-1,1
3,53,4,0,7,1,1,-1,5
1,68,0,0,8,1,1,0,1
1,49,1,5,9,2,1,1,1
2,41,2,12,12,1,1,9,3
1,81,1,0,4,1,1,-1,1
1,65,1,0,13,2,1,0,1
1,42,1,12,14,2,1,0,1
2,26,1,12,12,1,2,-1,1
2,20,1,0,10,2,1,-1,1
2,57,2,10,8,2,1,-1,2
1,28,0,0,10,2,1,1,1
1,50,0,9,12,2,1,2,1
1,43,1,16,18,2,1,0,1
1,30,1,11,16,2,1,0,1
2,58,3,9,14,1,1,-1,2
2,22,1,0,16,2,1,0,5
2,63,0,0,12,1,1,1,2
2,65,4,0,10,2,1,-1,1
2,50,0,22,9,2,1,1,1
3,75,4,0,12,2,1,-1,2
2,54,4,0,9,2,1,9,1
1,33,0,22,18,1,1,0,1
1,36,0,22,12,1,1,0,1
1,82,1,21,16,1,1,-1,1
2,36,0,13,18,2,1,0,5
2,48,2,22,12,2,1,0,1
3,27,2,11,16,2,1,-1,1
3,49,0,0,7,1,1,1,3
2,55,3,0,11,1,1,-1,3
2,37,2,9,13,2,1,0,3
3,28,0,3,9,1,3,2,1
2,21,0,4,12,2,3,2,5
2,39,1,10,12,2,2,0,4
1,63,0,20,2,1,3,0,1
1,23,1,14,12,1,3,-1,1
1,18,1,4,11,2,1,1,5
1,24,2,13,13,1,1,-1,1
2,56,1,0,12,2,3,-1,1
2,31,2,9,12,1,1,1,3
2,65,2,4,14,1,1,0,5
2,47,3,18,14,1,2,-1,1
2,81,3,0,10,2,1,1,2
2,76,3,0,8,2,1,-1,2
1,48,1,16,16,2,3,0,1
3,54,4,0,7,2,3,0,5
2,23,1,2,13,2,3,-1,5
3,60,0,0,12,2,3,1,2
2,75,4,0,0,2,3,-1,2
3,75,3,0,13,2,1,-1,3
1,83,3,0,7,1,1,1,2
2,46,2,14,14,1,1,-1,1
2,35,0,17,17,2,3,0,1
